Current price,Origninal price,Listing title,Condition
£801.81GBP,£943.30,Tokai Silver Star 1975 Inca silver super strat original vintage mij japan stratocaster fender killer,Good
"£1,540.52GBP","£1,773.93",Fender Limited Edition Exotic Collection American Vintage ’59 Pine Stratocaster Natural 2017,Mint
£801.81GBP,£943.30,Aria pro II standard c 1975 Tobacco burst original vintage mij japan matsumoku singlecut killer,Good
£236.81GBP,£236.81GBP,Squier '51 Sunburst w/New Case,Good
"£2,680.52GBP","£3,153.55",Fender Telecaster c 1975 Blonde original vintage USA bigsby blond tele cbs,Good
"£1,137.29GBP","£1,337.99",Fender E serial Stratocaster ST-57 c 1985 Sunburst original vintage ri series mij japan,Good
£384.43GBP,£384.43GBP,Orville Melody Maker K Serial Electric Guitar Ref No 3188,Good
"£1,262.99GBP","£1,262.99GBP",2015 Schecter PT Standard Electric Guitar Butterscotch T-Style Near Mint Japan,Excellent
£795GBP,£795GBP,Fender Mustang 1965 Slab Body Reissue Daphne Blue 2007-10 MIJ Japan,Excellent
"£6,512.34GBP","£6,512.34GBP",Gibson Les Paul Junior 1954 Sunburst,Excellent
"£2,895GBP","£2,895GBP","1999 James Trussart DeVille Model in Rusty Holey Finish,Hand Signed S.Duncan Humbuckers,Case VG Con",Very Good
£867.52GBP,£867.52GBP,John Page Classic Ashburn Shoreline Gold Rosewood Fretboard w/ Upgraded Pickups,Very Good
"£3,445.15GBP","£3,445.15GBP",Fender Custom Shop Limited Edition Namm Telecaster Custom 1960 Super Faded Surf Green Heavy Relic 2,Excellent
£205.40GBP,£205.40GBP,"Ibanez SA series 2003 negro hecha en Korea en perfecto estado ,muy buena guitarra !!",Very Good
£431.79GBP,£431.79GBP,Fender Japan Stratocaster N Serial Electric Guitar Ref No 3186,Very Good
£781.68GBP,£919.62,Aria Pro II LPC- 800 custom c 1980 Black beauty original vintage mij japan Single Cut,Good
£408.11GBP,£408.11GBP,Fender Japan ST Stratocaster G Serial Electric Guitar Ref No 3189,Good
"£3,445.15GBP","£3,445.15GBP",Gibson Custom Shop Les Paul 1957 Reissue Goldtop R7 2018 Used Ex Demo,Mint
"£1,095GBP","£1,095GBP",Fender Telecaster '52 Reissue Vintage 'Order Made' FujiGen A-Serial 1987 Natural Ash / Butterscotch,Very Good
"£2,877.48GBP","£3,459.32",2019 Fender Custom Shop 1958 Stratocaster Heavy Relic Faded Chocolate,Mint
£465.89GBP,£465.89GBP,Ibanez RG350DXZ White,Mint
£995GBP,£995GBP,Fender Hybrid Series Stratocaster Reissue MIJ 2017 Scarce Flamingo Pink,Excellent
"£1,600GBP","£1,600GBP",Jackson PC1 1996,Very Good
"£1,167.06GBP","£1,167.06GBP",Ibanez AT10P Andy Timmons Sunburst with bag,Mint
"£3,250GBP","£3,250GBP",Philippe Dubreuille Bespoke Custom made 'Spitfire',Good
"£4,258.68GBP","£4,258.68GBP","2009 Fender '60 Telecaster Custom Relic Masterbuilt, Blue Sparkle",Excellent
"£1,399.54GBP","£1,399.54GBP",Charvel USA Custom Shop Bullseye Limited Run Of 27 2006,Good
£176.46GBP,£176.46GBP,Ibanez GRX40 Candy Apple Red,Mint
"£3,157.49GBP","£3,157.49GBP",1968 Gibson SG Special Electric Guitar with Case - Walnut,Very Good
"£2,485GBP","£2,485GBP",Fender Stratocaster Hardtail (1976),Excellent
"£1,372.46GBP","£1,372.46GBP","Ibanez RG3770dx 2019 candy apple red hardshell case,rg770dx",Mint
"£3,250GBP","£3,250GBP",Philippe Dubreuille bespoke Custom made Rosewood Tele,Good
"£2,052.38GBP","£2,052.38GBP",Fender Telecaster 1972 Natural - Refin,Very Good
£213.80GBP,£279.16,Ibanez RG320 1999 Grey Pewter,Very Good
"£4,258.68GBP","£4,258.68GBP",2011 Fender 57 Relic Stratocaster Shell Pink,Excellent
£176.46GBP,£176.46GBP,Ibanez GRX40 Metallic Light Blue,Mint
£939.25GBP,£939.25GBP,Fender American Performer Jazzmaster RW 3-Color,Good
£995GBP,£995GBP,Vintage Late-80's Fender Telecaster 1952 Reissue Natural Ash MIJ Texas Specials,Very Good
"£1,199.85GBP","£1,499.80",Fender American Ultra Stratocaster - Mocha Burst with Maple Fingerboard,Excellent
"£3,706.12GBP","£3,706.12GBP",2008 Fender Custom Shop 1959 Custom Telecaster Relic Wildwood 10,Excellent
£450GBP,£450GBP,Rare Limited Edition Evolve Pulse David Gilmour Stratocaster 2017 Candy Apple Red EMG DG20 Pickups,Mint
£326.78GBP,£326.78GBP,Ibanez PS60 Paul Stanley Black,Mint
"£3,967.99GBP","£3,967.99GBP",Ibanez Steve Vai JEM 777 | 2017 | Pink | 30th Anniversary | Case | Certificate | NEW! with dent,Very Good
"£2,935GBP","£2,935GBP",Knaggs Severn Tier 2 HSS 2016 Winter Solstice,Excellent
"£3,731.59GBP","£3,731.59GBP",Fender MBS(Masterbuilt) 1957 Strat Heavy Relic Strat-Dakota Red by Jason Smith,Mint
£258.92GBP,£258.92GBP,1998 Aria Pro II PE-40 Single Cutaway (Black Blue Burst),Very Good
"£3,190GBP","£3,190GBP",2001 Fender Custom Shop Stratocaster 'Mary Kaye' '56 RI in see thru blonde,Good
"£6,227.64GBP","£6,227.64GBP",Fender MBS(Masterbuilt) 1957 Strat Heavy Relic-Black by Todd Krause,Mint
"£2,475GBP","£2,475GBP",1995 Gibson Les Paul Standard in Black finish with hard shell case,Good
"£6,851.65GBP","£6,851.65GBP",Fender Masterbuilt Eric Clapton-Gold Leaf Strat w/Noiseless Pickups&AAA Flame Maple Neck/Todd Krause,Mint
"£3,143.49GBP","£3,143.49GBP",Gibson Custom Shop Historic Collection '57 Les Paul Custom Black Beauty 2004,Very Good
"£3,734.58GBP","£4,668.23",FENDER Telecaster 1994 DESIGN SAMPLE 002 esparza,Excellent
£552.55GBP,£631.49,Washburn N2 Nuno 2003 W/ Buzz Feiten and Japanese Takeushi Floyd,Excellent
"£4,361.84GBP","£4,361.84GBP",Fender Masterbuilt 1956 Active Strat Heavy Relic-Desert Sand w/Clapton Electronics by Todd Krause,Mint
"£4,049.83GBP","£4,049.83GBP",Fender MBS(Masterbuilt) 1963 Strat Journeyman Relic-Ice Blue Metallic by Greg Fessler,Mint
£799GBP,£799GBP,Paul Reed Smith SE Custom 24 Poplar Burl,Mint
£374.25GBP,£374.25GBP,1988 Fernandes Japan FR-85 Revolver Active Superstrat (Cherry Sunburst),Good
£518.41GBP,£518.41GBP,1990 Fernandes Japan MG-80x Mockingbird (Hide Signature Model),Good
"£3,453.52GBP","£3,453.52GBP",Fender MBS(Masterbuilt) 1962 Stratocaster Relic-Tobacco Sunburst by Jason Smith,Mint
£199.99GBP,£249.99,Daisy Rock Rock Candy Classic Platinum Sparkle,Mint
£939.25GBP,£939.25GBP,Fender American Performer Jazzmaster RW 3-Color,Good
"£4,716.52GBP","£4,716.52GBP",Fender MBS(Masterbuilt) 1962 Strat Heavy Relic-Faded Candy Tangerine over Black by Todd Krause,Mint
"£2,999GBP","£2,999GBP",Fender Custom shop 62 telecaster custom 2017 Surf green,Mint
None,None,None,None
£749.07GBP,£749.07GBP,1983 Aria Pro II (Matsumoku) PE-60 Single Cutaway (Cherry Sunburst),Very Good
"£4,361.84GBP","£4,361.84GBP",Fender Masterbuilt 1956 Active Strat Heavy Relic-Midnight Blue w/Clapton Electronics by Todd Krause,Mint
£280.09GBP,£392.13,Ibanez RG-350DXZ White,Excellent
"£4,979.61GBP","£4,979.61GBP",Fender MBS(Masterbuilt) 1961 Strat Relic-Fiesta Red by Jason Smith,Mint
£943.30GBP,£943.30GBP,Glendora Fullerton Red USED,Good
£390.74GBP,£390.74GBP,Ibanez JTK1 Jetking Olympic White + Gig bag,Very Good
"£1,093.28GBP","£1,578.75",Yamaha SG-1500 Electric Guitar Sunburst 1978,Very Good
"£1,420.09GBP","£1,420.09GBP",Gibson Les Paul Traditional T 2016 Cherry Sunburst,Excellent
£652.62GBP,"£1,167.06",Gibson SG Special 1984 Cherry Red,Good
£797.26GBP,£797.26GBP,Used LTD MH-1000ET Electric Guitar,Very Good
"£6,068.70GBP","£6,068.70GBP",Fender Jaguar 1966 Candy Apple Red,Very Good
"£3,258.42GBP","£3,687.90",Gibson Les Paul Deluxe 1969 - 1984 Cherry Sunburst,Excellent
£177.61GBP,£264.44,Schecter Spitfire-6 Black Electric Guitar~22 Frets~w/Gig Bag,Good
"£1,867.29GBP","£1,867.29GBP",Ernie Ball Music Man Luke 1 1993 Bleu,Very Good
£465.73GBP,£465.73GBP,Coolz ZLS-10 FM FCH Single Cutaway 2014 Sundurst,Excellent
£568.35GBP,£568.35GBP,Vintage Peavey T-60 Natural Finish + OHSC,Very Good
"£2,644.41GBP","£2,644.41GBP",Gretsch G6129T Sparkle Jet with Bigsby 2003 Sparkle Green,Excellent
"£1,508.75GBP","£1,775",Ibanez Prestige MM1 Made in Japan 2018 Transparent Aqua Blue Electric Guitar,Very Good
"£1,571.33GBP","£1,848.62",Ernie Ball Music Man Axis Super Sport Rosewood,Excellent
"£6,851.65GBP","£6,851.65GBP",Fender MBS(Masterbuilt) 1955 Strat Ultra Relic-Desert Tan by Dale Wilson,Mint
£438.81GBP,£438.81GBP,Fender Standard Stratocaster w/Maple Fretboard,Good
"£1,999GBP","£1,999GBP",RARE Jackson Randy Roswell Rhoads - Alien Crop Circle Inlays! Star Trek Modern Flying V Design!,Very Good
£738.07GBP,£868.31,Fender American Special USA Stratocaster 2018 (used),Very Good
"£5,126.99GBP","£5,126.99GBP","2014 Gibson Collector's Choice Les Paul, Custom shop hand built ""aged""",Excellent
£789.37GBP,£789.37GBP,Fender Vintera '60s Telecaster Bigsby - 3-color Sunburst,Mint
"£1,302.46GBP","£1,302.46GBP",Fender Eric Clapton Stratocaster - Black with Maple Fingerboard,Excellent
£974.13GBP,"£1,025.40",GIBSON LES PAUL SPECIAL Double Cutaway Faded Worn Cherry DC Cut P90 60562,Very Good
£789.37GBP,£789.37GBP,Fender Vintera '60s Stratocaster Modified - Burgundy Mist Metallic,Mint
"£2,100GBP","£2,100GBP",Fender Stratocaster 1979 Sunburst,Good
£489.66GBP,£576.06,Epiphone DC PRO MF,Mint
£538.84GBP,£538.84GBP,Paul Reed Smith SE Standard Royal Blue Metallic,Very Good
£412.67GBP,£412.67GBP,Epiphone DC PRO ME,Mint
"£2,250GBP","£2,250GBP",Gibson SG Deluxe 1970 - 1974 Cherry Red,Good
£391.25GBP,£460.30,Epiphone DC PRO FC,Mint
"£1,497.78GBP","£1,497.78GBP",Dragonfly HI-STA Exotic,Very Good
£633.74GBP,£633.74GBP,1983 Squier Japan ST701 JV Series Contemporary Stratocaster (Candy Apple Red),Very Good
"£4,018.44GBP","£4,018.44GBP",Gibson Custom 1956 Les Paul Standard VOS Non Pickguard 2019,Very Good
£730.62GBP,£730.62GBP,Sterling JP70 TGB,Very Good
"£3,550GBP","£3,550GBP",2004 Gibson Custom Shop Les Paul Custom in Cherry & hard shell case,Good
£730.62GBP,£730.62GBP,Yamaha MGS-STANDARD BSB,Very Good
£515GBP,£515GBP,Framus Panthera 7 string,Mint
£499GBP,£499GBP,Dean Soltero Standard Electric Guitar Sunburst,Excellent
"£1,196.40GBP","£1,196.40GBP",G&L USA Series LEGACY Sonic Blue,Very Good
"£1,041.14GBP","£1,041.14GBP",Fender USA American Standard Stratocaster 3CS,Very Good
"£1,004.61GBP","£1,004.61GBP",Fender Japan ST54-85LS 22F ORDER,Very Good
"£2,449.03GBP","£2,881.21",Vintage 1990 IBANEZ American Master MA2HSH guitar in original condition w/case,Very Good
"£2,922.50GBP","£2,922.50GBP",ESP SNAPPER-CTM M Poplar Burl Nebula Blue Burst,Very Good
£680.44GBP,£680.44GBP,The man under the bridge Stratocaster,Fair
£395.21GBP,£464.96,Epiphone DC PRO WI,Mint
"£1,251.19GBP","£1,251.19GBP",Fender USA American Stratocaster Black,Very Good
£393.63GBP,£463.10,Epiphone DC PRO BC,Mint
"£1,199.72GBP","£1,411.44",Fender USA 1978 Mustang 3CS BLACKFRIDAY202015,Very Good
"£2,052.38GBP","£2,052.38GBP",Fender USA Deluxe Telecaster 2004-2010 Butterscotch,Excellent
"£4,736.24GBP","£4,736.24GBP",'52 Fender Custom Shop Masterbuilt PAUL WALLER Bigsby Telecaster 2-Tone DOUBLE-BOUND TV Jones,Excellent
£193.40GBP,£275.49,2008 Epiphone SG 310 Ebony Chrome SG-310,Very Good
"£2,920.68GBP","£2,920.68GBP",Fender Jaguar Sunburst Block Inlays 1967 OHSC,Very Good
"£3,081.03GBP","£3,081.03GBP",Fender stratocaster custom shop NAMM 2020 chocolate 3tsb Journeyman,Mint
"£3,789GBP","£3,789GBP",Aristides 070S Evangelion EVA 01,Mint
"£1,004.61GBP","£1,004.61GBP",Fender American Performer Stratocaster LPB,Very Good
£770.94GBP,£906.99,USED 2019 Harmony Rebel Burgandy,Very Good
"£3,039.09GBP","£3,039.09GBP","1973 Gibson SG Standard ""Cherry""",Very Good
"£1,674.07GBP","£1,969.49","Bell & Hern Custom "" Cousin Strawberry"" Custom JazzCaster ""2020""",Mint
"£3,314.59GBP","£3,314.59GBP",1965 Mosrite Ventures Mark I Ink Blue,Good
"£1,274.83GBP","£1,499.80",Fender American Ultra Telecaster White,Mint
"£5,524.84GBP","£5,524.84GBP",2008 Paul Reed Smith PRS McCarty Trem Quilt Top Private Stock Joe Knaggs Build ~ Purple Mist,Mint
£430.21GBP,£430.21GBP,Yamaha Studio Lord SL500 1979 Sunburst made in Japan,Very Good
£547.04GBP,£547.04GBP,Fender Classic Series ‘72 Telecaster Custom 2019 Black w/ Pau Ferro,Mint
"£2,758.87GBP","£2,758.87GBP",1983 Fender Dan Smith Stratocaster Blue Stratoburst RW Fingerboard Rare,Excellent
"£1,632.71GBP","£1,632.71GBP",Dean Hardtail USA,Excellent
£268.38GBP,£315.74,Kramer Body Partscaster Splatter Paint Finish,Very Good
"£1,506.91GBP","£1,506.91GBP",Fender American Pro Jazzmaster 3TS,Very Good
£180.87GBP,£180.87GBP,Ibanez Gio 2010 Black,Mint
£418.37GBP,£418.37GBP,Ibanez PGM 30 1996 made in Japan,Very Good
"£1,391.13GBP","£1,391.13GBP",Fender American Standard Telecaster 2008 - 2016,Mint
£816.66GBP,£907.40,B.C. Rich Bich with specialized case,Excellent
"£3,749.53GBP","£3,749.53GBP",James Trussart Steel O Matic 2015 Antique Driftwood / Silver Gator,Mint
"£1,610.75GBP","£1,895",Paul Reed Smith Singlecut 2000 - 2007 Tortoise Shell,Excellent
£394.69GBP,£434.16,Schecter Diamond Series Hellraiser Special - FR Black Burst,Very Good
"£1,027.01GBP","£1,027.01GBP",Fender Telecaster 2004 White pearl (rare),Excellent
£375GBP,£425,PRS Santana II 2003 Silver,Excellent
£224.97GBP,£224.97GBP,Squier Squier II fat Stratocaster MIK 1989 Black,Excellent
"£3,081.03GBP","£3,081.03GBP",Fender stratocaster custom shop NAMM 2020 chocolate 3tsb Journeyman,Mint
"£8,919.94GBP","£8,919.94GBP",2002 Gibson Custom Shop 1959 Gary Rossington Les Paul Tom Murphy Aged. Excellent!,Excellent
"£1,015.75GBP","£1,195",Paul Reed Smith Mira 2007 - 2013 Vintage Cherry,Excellent
£698.37GBP,£821.61,DBZ Venom Thoracic,Mint
"£2,795GBP","£2,795GBP",PRS Custom 22 (Paul Reed Smith signed)Stoptail 1993 Cherry 10 Top,Excellent
£395GBP,£395GBP,PRS SE Singlecut 2003 Cherry,Excellent
"£1,578.74GBP","£1,973.43",Kiesel Becker JBV6 Vader Limited Racing Green Guitar,Mint
"£2,850GBP","£2,850GBP",1977 Fender Telecaster Custom in Black finish with orig. hard shell case,Good
"£5,524.84GBP","£5,524.84GBP",2008 Paul Reed Smith PRS McCarty Trem Quilt Top Private Stock Joe Knaggs Build ~ Purple Mist,Mint
"£2,707.57GBP","£2,707.57GBP",Gibson Les Paul Piezo Limted Run 98/350 2009 Goldtop,Very Good
"£3,795GBP","£3,795GBP",Fender ST-62 Stratocaster (April1982) JV Flagship Sunburst 'Export' Model Free Worldwide Shipping,Excellent
£547.04GBP,£547.04GBP,Fender Classic Series ‘72 Telecaster Custom 2019 Black w/ Pau Ferro,Mint
"£2,194.07GBP","£2,194.07GBP",Gibson Flying V Designer Series 1984 Cream White,Very Good
"£12,630GBP","£12,630GBP",Washburn D3 custom shop 2001 Platinum,Mint
£175GBP,£175GBP,Starcaster Arrowhead,Fair
"£4,499GBP","£4,499GBP",Fender Custom Shop Greg Fessler Masterbuilt 63 Strat Closet Classic Burgundy Mist ~ Secondhand,Mint
£765.59GBP,£765.59GBP,ESP LTD MH-401 nt see-through black,Very Good
"£1,391.13GBP","£1,391.13GBP",Fender American Standard Telecaster 2008 - 2016,Mint
£125GBP,£125GBP,80's Encore - Double Cut - Metallic Red,Good
"£3,946.88GBP","£3,946.88GBP",Fender Art Esparza Masterbuilt 1954 Stratocaster 2001 Cream,Excellent
"£1,708.94GBP","£2,010.51",Music Man Luke Iii 3 Bodhy Blue Steve Lukather,Very Good
"£1,269.76GBP","£1,493.83",Fender Mustang ➤ Custom Shop ✦Delorean - Back to the Future✦ by Martper Guitars,Mint
£355.22GBP,£355.22GBP,Edwards by Navigator Les Paul Custom EDG-82 made in Japan,Good
£355.22GBP,£402.58,Epiphone Les Paul Tribute 2010 Faded Cherry Sunburst,Very Good
£481.47GBP,£566.44,Ibanez S 1670 Prestige,Very Good
"£1,200.32GBP","£1,412.14",Martper Guitars Martper Guitars ➤ Old Wood Deluxe ★ Custom Shop ★,Mint
"£2,112.56GBP","£2,485.37",Martper Guitars ➤Explorer Custom Shop ✦Back to the Future✦,Mint
"£4,985.67GBP","£4,985.67GBP",Fender Yngwie Malmsteen NOS Custom Shop Maple Neck 2020 Vintage White,Excellent
£478.04GBP,£478.04GBP,2016 FGN Japan (Fujigen) JST-5M J-Standard Stratocaster (Black),Very Good
"£7,978.94GBP","£7,978.94GBP",PRS Private Stock Custom 24 Brazilian #7842 2019,Excellent
"£1,005.78GBP","£1,183.27","Titan Guitars KR1 2017 in Verde Chiaro w/bigbsy Trem, Mastery Bridge and Lollar Imperials",Very Good
"£1,820.61GBP","£1,820.61GBP",Paul Reed Smith Custom 24 2011 - 2020 Dark cherry burst,Good
"£1,018.29GBP","£1,018.29GBP",ESP LTD James Hetfield Truckster Signature in Matte Gray,Very Good
"£1,864.02GBP","£1,864.02GBP",Martper Guitars ➤ Flying V Custom Shop ✦Motörpunk✦,Mint
£875GBP,£875GBP,FENDER USA TELECASTER 1990 WHITE,Fair
"£2,130.52GBP","£2,130.52GBP",2016 Ernie Ball Music Man John Petrucci Majesty with Piezo ~ Gold Mine,Excellent
£345.41GBP,£345.41GBP,1990's Yamaha RGX612J HSS Superstrat (Made in Japan),Good
"£3,469.30GBP","£3,469.30GBP",2018 Gibson Custom Shop Guitar '60 RI Les Paul Sunburst Electric Guitar w/OHSC R0,Excellent
"£24,995GBP","£24,995GBP",Stunning Near MINT Fender Stratocaster 1965 Custom Colour Candy Apple Red + OHSC - The Best!,Excellent
"£1,574.80GBP","£1,574.80GBP",Vintage! 1979 Fender Stratocaster Black Rosewood Fretboard + Gig Bag,Excellent
"£1,460.34GBP","£1,460.34GBP",Paul Reed Smith 305,Excellent
£386.79GBP,£386.79GBP,Washburn G2V 1980 Pink,Good
"£4,295GBP","£4,295GBP",Rare 1972 Fender Jaguar Maple Neck + OHSC,Very Good
£333.31GBP,£392.13,DBZ Bolero Calavera Black,Very Good
"£4,299.99GBP","£4,299.99GBP","GIBSON USA Custom Shop Les Paul '57 Reissue ""Black Beauty + Ebony"" (2002)",Very Good
£150GBP,£175,Squire Stratocaster 1999 Red,Good
£175GBP,£175GBP,60's Kay - ET 200 - Sunburst,Good
"£2,699.99GBP","£2,699.99GBP","PRS Paul Reed Smith USA Custom 24 ""Charcoal + Braz Rosewood"" (1989).",Very Good
"£1,773.93GBP","£2,147.39","ESP Aero FR Custom 2010 (Original Series, Custom Shop)",Excellent
"£2,130.52GBP","£2,130.52GBP",2016 Ernie Ball Music Man John Petrucci Majesty with Piezo ~ Iced Crimson,Excellent
"£4,281.47GBP","£5,037.02",Fender Custom Maverick 1969 Sunburst,Very Good
"£1,095GBP","£1,095GBP",2008 GIBSON LES PAUL STUDIO USA ♚ AMAZING! ♚ IMMACULATE ♚Gloss Piano Black ♚ 9 LBS ♚ + CASE,Mint
"£7,002.34GBP","£7,935.99",Gibson EDS-1275 - Made to Measure - Custom,Mint
"£7,978.94GBP","£7,978.94GBP",PRS Private Stock Custom 24 Brazilian #7842 2019,Excellent
£552.55GBP,£552.55GBP,Yamaha RGX-612V Prototype 1990s Cosmic Black,Good
"£1,195.07GBP","£1,470.49",Gibson Les Paul Classic 1960 RI 2003 Honeyburst,Very Good
"£24,865.31GBP","£24,865.31GBP",Gibson Les Paul Standard 1954 Goldtop,Very Good
"£2,750GBP","£3,295",Gibson Les Paul Standard - 1989 Heritage Sunburst,Excellent
"£24,047.91GBP","£24,047.91GBP",1963 Fender Stratocaster - Sunburst,Good
£600.52GBP,£706.49,1993-94 Fender 50s Stratocaster 2-Tone Sunburst Made In Japan MIJ Fuji-gen,Very Good
"£1,297.77GBP","£1,297.77GBP",K'mo Telly Custom 2020 Satin Natural,Mint
£788.59GBP,£788.59GBP,ibanez S 540 FM 1995 Brown Burst,Good
"£7,978.94GBP","£7,978.94GBP",PRS Private Stock McCarty 594 “Graveyard” #7493 2018 Honey Gold With Dark Cherry Smoked Burst,Excellent
"£3,552.19GBP","£3,552.19GBP",Fender Telecaster 1972 Blond,Very Good
"£2,683.09GBP","£2,683.09GBP",2014 Paul Reed Smith PRS Custom 24 10 Top 30th Anniversary ~ Tortoise,Very Good
£867.52GBP,£867.52GBP,Hondo Deluxe 780 80s,Good
"£2,419.43GBP","£2,419.43GBP",Xotic California Classic XSC-1 Roasted Flame Neck Lake Placid Blue,Very Good
£460.74GBP,£460.74GBP,Edwards Japan (by ESP) E-I-85LP Single Cutaway w/Stratocaster Pickups (Redburst),Good
£947.24GBP,£947.24GBP,"1990s Mosrite Ventures Model '65 Seafoam Green 3/4 Size Body, Moseley Vibrato, Japan",Excellent
"£1,095.06GBP","£1,095.06GBP",Fender Telecaster American Special Made In USA 2012,Very Good
"£1,764.59GBP","£1,764.59GBP",Warrior Soldier Pearl White,Mint
"£3,967.99GBP","£3,967.99GBP",Gibson Les Paul Standard 1976 Tobacco Sunburst,Excellent
"£2,975.20GBP","£3,500.24","Gibson Les Paul Standard 1979 - AAA Flametop, Refinished",Good
"£2,499GBP","£2,499GBP",Fender Stratocaster Left Handed 1977 Olympic White,Very Good
£508.84GBP,£508.84GBP,PRS SE 245 2005 Black,Very Good
£402.58GBP,£473.63,ESP LTD MH-1000 NT,Excellent
£370GBP,£370GBP,Jackson KVX10 Gloss black,Good
"£1,099GBP","£1,099GBP",Paul Reed Smith PRS Standard 24 Satin 2020 Mccarty Tobacco Sunburst,Mint
"£1,200GBP","£1,200GBP",Patrick Eggle Los Angeles Pro II 1993 Green,Excellent
£277.29GBP,£318.37,ESP LTD EX-50 Black,Good
"£33,611.25GBP","£33,611.25GBP",Fender Stratocaster 1960 Sunburst,Very Good
"£1,776.09GBP","£1,776.09GBP",Jackson Super Dinky SDK1 1997 Gun Metal Gray,Very Good
"£1,200GBP","£1,599",Gibson SG Robot 2008 Silverburst Josh Middleton Sylosis Architects,Very Good
"£1,045.92GBP","£1,180.12",Hamer Daytona 1994 Sunburst REDUCED!,Very Good
£699.30GBP,£699.30GBP,Tokai PRS Custom 24 style 2004 Blue,Very Good
"£1,894.50GBP","£2,131.31",MIJ Dragonfly Border 666,Very Good
£408.11GBP,£408.11GBP,Fender Japan Stratocaster U Serial Electric Guitar Ref No 3174,Very Good
"£1,260.42GBP","£1,260.42GBP",K'mo Memphis Std. 2020 Satin Tobacco Burst,Mint
"£1,999.99GBP","£1,999.99GBP",Gretsch G6128T Players Edition Jet FT with Bigsby 2019 Black,Excellent
£603.20GBP,£709.65,Used Sterling by Music Man MAJ100-ADR Majesty Electric Guitar- Artic Dream,Very Good
£690.90GBP,£793.60,Ibanez RG570 1991 Blue Violet Pearl One Of a Kind,Excellent
"£1,697.16GBP","£1,893.67",Excellent Gibson Les Paul Standard Plain Maple Premium Top 2009 Heritage Cherry Sunburst W/ OHSC,Excellent
£500GBP,£550,Paul Reed Smith SE Santana 2011 Santana Yellow,Mint
"£1,697.16GBP","£1,933.93",Excellent Gibson Les Paul Standard AA Maple Premium Plus Top 2008 Heritage Cherry Sunburst W/ OHSC,Excellent
"£1,972.65GBP","£1,972.65GBP",Hamer USA Phantom Cherry Sunburst Flame Top Guitar & Case,Excellent
"£3,866.57GBP","£3,866.57GBP",Gibson Custom 50th Anniversary 1959 Les Paul Standard Reissue Heritage Cherry Sunburst,Very Good
£299.95GBP,£299.95GBP,Spirit by STEINBERGER GT-PRO DELUXE Headless 2013 Electric Guitar,Very Good
"£1,574.80GBP","£1,732.68",Paul Reed Smith SC 245 2007 Very Good +,Very Good
"£6,311.05GBP","£6,311.05GBP",Fender Jazzmaster 1961 Sunburst All Orig,Excellent
£513.51GBP,£513.51GBP,blade Texas PRO,Mint
"£1,073.69GBP","£1,073.69GBP",Taylor Solidbody Standard,Mint
"£1,100GBP","£1,100GBP",Fender American Standard Telecaster 1988 - 2000,Very Good
£325GBP,£450,"Ibanez Jet King III Guitar Surf Green w/P-90's (Rare, Discontinued)",Excellent
£420.14GBP,£420.14GBP,Blade DD1,Fair
£631.49GBP,£631.49GBP,1970s Guyatone LG Series Vintage Electric Guitar S-Style Hardtail Sunburst Japan,Excellent
"£1,697.16GBP","£1,893.71",1998 Gibson Flying V Limited Edition Tobacco Sunburt ('58 Style) w OHSC & Brandon Wound PAF clones!,Excellent
"£1,960.66GBP","£1,960.66GBP",1985 Gibson SG Standard Black w/factory EMG pickups,Excellent
£710.43GBP,£710.43GBP,1970s Guyatone LG-23 Vintage Electric Guitar S-Style Sunburst Japan w/Case,Excellent
£858.45GBP,"£1,144.59",1984 Fender Flame Standard 1984 Cherry Sunburst VG+ Fuji-Gen Black Friday Sale,Very Good
"£3,082.60GBP","£3,082.60GBP",Paul Reed Smith(PRS) McCarty 594 Selected Top Dark Cherry Sunburst 2018,Excellent
£899.99GBP,"£1,099.99",Epiphone ET-270 Left Handed Set Up Vintage 1970's Cherry Burst Kurt Cobain Nirvana Guitar,Very Good
"£1,400.47GBP","£1,400.47GBP",Ibanez XPT 707 Xiphos 2008 Chameleon,Very Good
"£4,933.59GBP","£4,933.59GBP",Gibson Custom Shop - Limited Edition '58 Les Paul - 50th Anniversary - Tom Murphy Aged - 1/200,Excellent
"£3,314.59GBP","£3,314.59GBP",2014 Gibson Custom Shop Historic '68 Reissue Les Paul Custom Black Beauty,Excellent
"£2,344.30GBP","£2,344.30GBP",Paul Reed Smith 20th Anniversary Custom 24 2007 10top Ruby,Good
"£1,183.27GBP","£1,183.27GBP",G&L USA ASAT Classic Bluesboy 2 Tone Sunburst Guitar W/Case & COA,Excellent
£473.63GBP,£473.63GBP,Agile Septor 727 Pro,Very Good
"£8,386.44GBP","£9,866.40",Gibson Custom Shop Crimson Les Paul Super Custom/Ultima 2017 Translucent Pink Butterfly,Mint
£392.13GBP,£392.13GBP,Gretsch Electromatic Pro Jet with Bigsby 125th Anniversary Edition,Good
"£1,262.21GBP","£1,776.09","Mosrite of California ""The Ventures"" Model Bass Reissue - Black 4 String - Made in Japan -(KuroKumo)",Excellent
"£3,511.44GBP","£3,511.44GBP",Fano Alt De Facto Custom SP6 2014 Stars and Stripes,Excellent
£369GBP,£369GBP,Tokai Love Rock,Excellent
"£2,597.04GBP","£2,597.04GBP",Gibson Custom Shop SG Elegant Figured Top 2017 Trans Black,Very Good
